Before_opt_smiles,After_opt_smiles
COc1ccc(C(=O)OCC(=O)NC(C)(C#N)C2CC2)cc1S(=O)(=O)NC1CC1,COc1ccc(-c2nc(-c3ccc(F)c(Cl)c3)co2)cc1S(=O)(=O)NC1CC1
O=[N+]([O-])c1cc2c(cc1C=NNS(=O)(=O)c1ccccc1)OCO2,O=S(=O)(N/N=C/Cc1cccc(Cl)c1Cl)c1ccccc1
CC1(c2ccc3c(c2)OCCCO3)NC(=O)N(CC(=O)NC2CCCCC2)C1=O,CC1(C)NC(=O)N(CC(=O)NC2CCCCC2)/C1=C/Cc1nc2ccccc2o1
COc1ccc(-n2c(O)c(C=C3N=c4ccccc4=C3CCNC(C)=O)c(=O)[nH]c2=S)cc1,COc1ccc(N2C(=O)CC3=CC=C(OCc4ccc(Cl)cc4)CC3=C2O)cc1
CC(=O)c1cccc(NC(=O)C(C)OC(=O)CNC(=O)c2ccc(F)cc2)c1,O=C(CNC(=O)c1ccc(F)cc1)Nc1ccc(Nc2ccccc2Cl)cc1
Cc1ccc(S(=O)(=O)NCCc2ccc(S(N)(=O)=O)cc2)cc1,NS(=O)(=O)c1ccc(CCC/C=C/c2cc(Br)c3ccccc3c2)cc1
CN(CC(=O)NCCc1ccc(F)cc1)CC(=O)Nc1cccc(F)c1,CCc1cccc(-c2ccc(CC(=O)NCCc3ccc(F)cc3)o2)c1
CC(=O)c1nnn(-c2cnn(-c3ccccc3)c(=O)c2Br)c1C,O=c1c2c(cnn1-c1ccccc1)[13C]C(c1ccccc1Cl)CC2
NC(=O)C1CCCN1S(=O)(=O)c1cccc(C(F)(F)F)c1,Cc1ccc(CS(=O)(=O)C2CCCC2C(N)=O)cc1
CC(C)C(NS(=O)(=O)c1cccs1)C(=O)OCC(=O)N(C)c1ccccc1,CN(C(=O)COC(=S)c1cc2oc3ccccc3c2cc1C(F)(F)F)c1ccccc1
O=C(O)CCC(=O)Nc1ccccc1C(=O)NCc1ccccc1,N=C(Cc1ccccc1NC(=O)CCC(=O)O)Nc1ccc(Cl)c(Cl)c1
O=C(COC(=O)c1ccccc1NCCO)Nc1ccc(OC(F)F)cc1,O=C(OCc1ccc(OCc2ccccc2)c(Cl)c1)c1ccccc1OCCO
CC1CC(C)CN(S(=O)(=O)c2ccc(C(=O)NN3CCOCC3)cc2)C1,CC(CCl)c1ccc(-c2ccc(C(=O)NN3CCOCC3)cc2)cc1
CN(C)C(=O)CN1CN(c2ccccc2)C2(CCN(C(=O)CCc3ccccc3)CC2)C1=O,CC(C)C(=O)CN1CN(c2ccccc2)C2(CCN(Cc3nc4ccccc4o3)CC2)C1=O
CS(=O)(=O)N1CCC2(CC1)Oc1ccccc1C1CC(c3ccncc3)=NN12,CS(=O)(=O)N1CCC2(CC1)Oc1ccccc1C1CC(c3ccc(F)cc3)=NN12
O=C(CSc1ncccn1)N(Cc1ccccc1)C1CCS(=O)(=O)C1,O=C(c1cc2ccc(Cl)cc2[nH]1)P(Cc1ccccc1)C1CCS(=O)(=O)C1
Cc1cc(C(=O)O)cc(S(=O)(=O)Nc2ccc(C(N)=O)cc2)c1C,NC(=O)c1ccc(NS(=O)(=O)Cc2ccc(Cl)c(Cl)c2)cc1
COc1cccc(Cn2cc(NC(=O)C3CSC(=S)N3)cn2)c1OC,N/C(=C\Cn1ccc(NC(=O)C2CSC(=S)N2)c1)c1ccccc1
N#CC(=Cc1ccc2c(c1)OCO2)C(=O)N1CCN(C(=O)c2ccco2)CC1,O=C(c1ccco1)N1CCN(c2cccc(Oc3cccs3)c2)CC1
CC(C)C(C)NC(=O)COC(=O)c1ccc2c(c1)NC(=O)CS2,CC(C)[C@@H](C)NC(=O)COC(=O)c1ccc(-c2ccccc2Br)s1
CN1CCN(CC(=O)NC(C)(C)Cc2ccc(O)cc2)CC1,Cc1c(NC(=O)NC(C)(C)Cc2ccc(O)cc2)ccc(Cl)c1Cl
COCCN(Cc1ccccc1)C(=O)CN1C(=O)NC(C)(c2ccc(OC)cc2)C1=O,COc1ccc(C2(C)NC(=O)N(CC(c3ccccc3)c3ccc(C)cc3)C2=O)cc1
CCN1CCN(C2CC(=O)N(c3ccc(Cl)cc3)C2=O)CC1,O=C1CC(c2nc3cc(Cl)c(Cl)cc3s2)C(=O)N1c1ccc(Cl)cc1
O=C(NCCCN1CCCC1=O)C1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,O=S(=O)(c1ccc(F)cc1)N1CCC(CCCOc2cccc(Cl)c2)CC1
COc1ccc(Cn2cc(CO)nc2SCC(=O)O)cc1,O=C(O)CSc1nc(CO)cn1CC(=O)Cc1ccc(Cl)cc1
CC=C(NOCc1ccccc1)C(=O)NNS(=O)(=O)c1ccc(C)cc1,Cc1ccc(S(=O)(=O)NOc2oc(-c3ccc4ccccc4c3)nc2Cl)cc1
CC(OC(=O)c1ccccc1I)C(N)=O,CC(OC(=O)C(I)c1ccccc1)C(N)=O
COC(=O)C1(C)NC(c2ccc(Cl)cc2)C2C(=O)N(C)C(=O)C21,COC(=O)C1(C)NC(c2ccc(-c3ccccc3)cc2)C2C(=O)N(C)C(=O)C21
Cc1ccc(OCC(=O)OCC(=O)NC(=O)NC2CCCC2)cc1C,N=C(CCc1ccccc1Cl)SOCC(=O)NC(=O)NC1CCCC1
CN(C)S(=O)(=O)c1ccc(C(O)=C2C(=O)C(=O)N(CCCN3CCOCC3)C2c2ccc(F)cc2)cc1,CCOc1ccccc1O/C=C/C=C1\C(=O)C(=O)N(CCCN2CCCCC2)C1c1ccc(F)cc1
CC(NC1CCCCCC1)C(=O)Nc1ccc(C(N)=O)cc1,NC(=O)c1ccc(NC(=O)C2CSC=C2c2ccc(Cl)cc2)cc1
COc1ccc2c(C)c(CC(=O)NC3CC3)c(=O)oc2c1C,COc1ccc2c(c1C)[C-]C1=Cc3cc4ccccc4cc3CC1=C2C
CC(C)CC(NC(=O)c1ccc(Cl)cc1)C(=O)OCC(=O)N1CCOCC1,CC(C)CC(NC(=O)c1ccc(Cl)cc1)C(=O)C(C)c1ccc(Cl)cc1Cl
COc1ccccc1C(=O)NCC(=O)OCC(=O)Nc1c(C)cccc1C,C[C-]c1ccccc1C(=O)NCC(=O)/C=C/SCc1ccccc1Cl
CCOC(=O)C1CC[NH+](Cn2ncn(-c3ccccc3)c2=S)CC1,S=c1n(-c2ccccc2)cnn1C/N=C/[S-]Cc1cccc(Br)c1
CCN(CC)C(=O)COC(=O)c1cc(S(=O)(=O)NC)ccc1Cl,CNS(=O)(=O)c1ccc(Cl)c(/C=C/CCOc2ccc(Cl)cc2Cl)c1
O=C(NC(C(=O)NCc1ccco1)c1ccccc1)C1Cc2ccccc2CN1,O=C(NCc1ccco1)[C@@H](CCCCc1ccccc1)c1ccccc1
COc1ccc(-c2ccc(=O)n(CC(=O)N3CCCC3)n2)c(OC)c1,O=C(Cn1nc(/C=C/c2ccccc2Cl)ccc1=O)N1CCCC1
CCOC(=O)Cc1csc(NS(=O)(=O)c2ccc(C)cc2)n1,Cc1ccc(S(=O)(=O)NC/C=N/c2ccc(Cl)c(Cl)c2)cc1
CN(CC(=O)Nc1ccccc1C(N)=O)S(=O)(=O)c1cc(Cl)ccc1Cl,CC/C(=C\c1ccc(Cl)cc1)Nc1ccccc1C(N)=O
Cc1cc(C)n(-c2nc(NCC[NH+]3CCOCC3)c3c4c(sc3n2)CCCC4)n1,Cc1cc(C)n(-c2nc(NCCc3ccccc3Cl)c3c4c(sc3n2)CCCC4)n1
Cc1n[nH]c(=O)nc1NN=Cc1ccc(OCc2ccccc2)cc1,O=[P+](=O)(Cc1ccc(SCc2ccccc2)cc1)c1ccc(Cl)c(Cl)c1
CC1=CS(=O)(=O)c2ccc(I)cc21,CC1=CS(=O)(=O)c2ccc(I)cc21
NS(=O)(=O)c1ccc(NC(=O)COC(=O)c2cccc(C(F)(F)F)c2)cc1,O=C(O/C=C/c1cccc(-c2ccccc2)c1)c1cccc(C(F)(F)F)c1
CCOc1ccc(C(=O)COC(=O)C(C)N2C(=O)C3CC=CCC3C2=O)cc1,C[C@H](C(=O)Oc1ccc(-c2ccc(Cl)cc2)cc1)N1C(=O)[C@H]2CC=CC[C@H]2C1=O
O=C(c1cccn2c(=O)c3cc(Br)ccc3nc12)N1CCN(c2ncccn2)CC1,C=C(/C=C\c1cccn2c(=O)c3cc(Br)ccc3nc12)C/C=C/c1ccccc1C
O=C(c1nc2ncccn2n1)N1CCN(Cc2ccccc2)CC1,Brc1cccc2c1[nH]c(=[14I])n2CN1CCN(Cc2ccccc2)CC1
COc1cc(C(=O)OC(C)C(=O)NC(N)=O)ccc1OCC(C)C,COc1cc(/C=C/C(=O)Nc2cc(Cl)cc(Cl)c2Cl)ccc1OCC(C)C
CCOC(=O)C1(C)NC(c2ccco2)C2C(=O)N(c3ccc(F)cc3)C(=O)C21,CCOC(=O)C1(C)NC(c2ccco2)C2C(=O)N(c3cc4ccccc4s3)C(=O)C21
Cc1ccc(S(=O)(=O)N2CCN(C(=O)C3COc4ccccc4O3)CC2)c(C)c1,Cc1ccc(S(=O)(=O)N2CCN(Cc3ccc(C(F)(F)F)cc3)CC2)c(C)c1
CCOc1ccccc1NC(=O)COC(=O)CCN1C(=O)C2CC=CCC2C1=O,C=C=C=C=C=C=C=C=C=C=C=C(C(=O)CCN1C(=O)C2CC=CCC2C1=O)c1ccc(OC)c(OC)c1
Cc1[nH]nc2c1C(c1cccc(OC(=O)N3CCOCC3)c1)C(C#N)=C(N)O2,CC(C)C(Cc1ccccc1)c1cccc(OC(=O)N2CCOCC2)c1
O=C(Cn1cnc2ccccc2c1=O)OC(C(=O)N1CCCC1)c1ccccc1,Cc1cccc2c1NC(CC(=O)SC(C(=O)N1CCCC1)c1ccccc1)=C(I)N2
O=C(CN1C(=O)COc2ccccc21)NCCN1CCC(Cc2ccccc2)CC1,Cc1ccc2ccc(C(=N)NCCN3CCC(Cc4ccccc4)CC3)cc2c1Cl
CC(Oc1ccccc1F)C(=O)NNC(=O)CCCn1c(=O)oc2ccccc21,O=C(CCCn1c(=S)oc2ccccc21)C/N=C/Nc1ccc(Cl)cc1Cl
CC(C)C[NH+]=C(NS(=O)(=O)c1ccccc1)C(Cl)(Cl)Cl,O=S(=O)(Nc1ccc2ccccc2c1)c1ccccc1
CC(C#N)(NC(=O)COC(=O)c1ccc2c(c1)NC(=O)C1CCCN21)C1CC1,O=C1Nc2cc(-c3ccc(COc4ccc(Br)cc4)o3)ccc2N2CCC[C@H]12
COc1c(C)cccc1C(=O)NC(=S)Nc1ccccc1C(N)=O,NC(=O)c1ccccc1NC(=[SH+])/C=C/c1ccc(Br)c(Cl)c1
Cc1cccc(-c2nc(CS(=O)CC(=O)N3CCN(C)CC3)c(C)o2)c1,CN1CCN(C(=O)C[N+]2=CC=C(OCc3cccc(Br)c3)CC2)CC1
CC(C)CN1C(=O)C(=O)N(CC(=O)N(Cc2ccccc2)C(C)C)C1=O,CC(C)N(Cc1ccccc1)C(=O)CC(C)(C)CCc1ccccc1
CNC(=O)COC(=O)c1ccccc1NS(=O)(=O)c1ccc(Cl)cc1,COC(=O)COC(=O)c1ccccc1Nc1nc2c(s1)CCc1cccc(C)c1-2
C#CCN1CCN(c2ccccc2NC(=O)CS(=O)(=O)c2ccccc2)CC1,C#CCN1CCN(c2ccccc2Oc2ccc(-c3ccccc3)cc2)CC1
COc1ccc(C(C)=NNS(=O)(=O)c2ccc(NC(C)=O)cc2)cc1,CC(=O)Nc1ccc(S(=O)(=O)NCCc2cc(-c3ccccc3)nc3ccccc23)cc1
CC1CN(C(=O)COC(=O)C2CSC3(c4ccccc4)CCC(=O)N23)CC(C)O1,O=C1CCC2(c3ccccc3)SC[C@H](c3nc(COc4cccc(Cl)c4)cs3)N12
CN1CCN(S(=O)(=O)c2csc(C(=O)Nc3ccccc3)c2)CC1,O=C(Nc1ccccc1)c1cc(Oc2ccc3ccccc3c2)cs1
COc1cccc2sc(NNC(=O)C3=COCCO3)nc12,COc1cccc2sc(N/N=C/c3ccc(Cl)c(Cl)c3Cl)nc12
COC(=O)C(C#N)=Cc1c(N2CC(C)OC(C)C2)nc2ccccn2c1=O,CCC(Cl)/C=C/c1c(N2CC(C)OC(C)C2)nc2ccccn2c1=O
c1cc(N2CCN(c3ccc(C4=NCCN4)cc3)CC2)ccc1C1=NCCN1,Nc1cc(N2CCN(c3ccc(C4=NCC[CH]4)cc3)CC2)cn1-c1ccc(Cl)cc1
COc1ccccc1C=CC(=O)NC(=S)NNC(=O)c1ccc(O)cc1,O=C(NNC(=S)Oc1ccc(-c2ccccc2)cc1)c1ccc(O)cc1
COc1ccccc1N1CC(C(=O)OCC(=O)NCCc2ccccc2)CC1=O,O=C(COC(=O)/C=C/c1cc(Cl)c(Cl)cc1Cl)NCCc1ccccc1
CCOC(=O)C=CC(=O)OC(C)C(=O)Nc1cccc(C)c1,Cc1cccc(NC(=O)[C@H](C)SSc2nc3ccccc3s2)c1
